Time,Acc_X_R,Acc_Y_R,Acc_Z_R,Acc_X_L,Acc_Y_L,Acc_Z_L,Activity_Label
2024-07-19 20:38:00,-61.71428571428572,-16.3265306122449,241.79591836734693,-244.0,4.24,70.4,A
2024-07-19 20:38:01,-68.73469387755102,-45.63265306122449,239.1836734693877,-245.2,4.24,67.36,A
2024-07-19 20:38:02,-65.71428571428571,-34.285714285714285,240.24489795918367,-247.68627450980392,4.078431372549019,62.03921568627451,A
2024-07-19 20:38:03,-63.42857142857143,-35.59183673469388,241.0612244897959,-244.0,5.28,67.92,A
2024-07-19 20:38:04,-60.97959183673469,-33.06122448979592,241.55102040816325,-240.3921568627451,6.901960784313726,78.11764705882354,A
2024-07-19 20:38:05,-60.81632653061224,-32.326530612244895,242.3673469387755,-239.2156862745098,8.549019607843137,80.23529411764706,A
2024-07-19 20:38:06,-61.795918367346935,-35.59183673469388,241.55102040816325,-237.92,9.44,82.88,A
2024-07-19 20:38:07,-63.10204081632653,-38.04081632653061,241.14285714285717,-236.3921568627451,10.901960784313726,84.07843137254902,A
2024-07-19 20:38:08,-61.38775510204081,-34.53061224489796,242.0408163265306,-236.48,10.32,84.32,A
2024-07-19 20:38:09,-59.51020408163265,-33.55102040816327,242.28571428571428,-236.4705882352941,10.117647058823527,84.15686274509804,A
2024-07-19 20:38:10,-60.97959183673469,-28.6530612244898,241.87755102040816,-236.32,9.92,84.88,A
2024-07-19 20:38:11,-62.61224489795919,-31.346938775510203,242.3673469387755,-236.23529411764707,10.196078431372548,84.3921568627451,A
2024-07-19 20:38:12,-65.14285714285714,-34.36734693877551,240.48979591836732,-236.4,9.44,84.32,A
2024-07-19 20:38:13,-64.3265306122449,-33.224489795918366,241.2244897959184,-236.16,11.12,84.32,A
2024-07-19 20:38:14,-63.755102040816325,-32.97959183673469,240.73469387755105,-236.7843137254902,10.745098039215684,84.0,A
2024-07-19 20:38:15,-62.12244897959184,-31.18367346938776,241.87755102040816,-236.54901960784315,8.549019607843137,84.31372549019608,A
2024-07-19 20:38:16,-60.8,-31.2,242.08,-236.07843137254903,8.941176470588236,85.25490196078431,A
2024-07-19 20:38:17,-61.083333333333336,-31.166666666666668,242.25,-235.6,9.36,86.4,A
2024-07-19 20:38:18,-63.67346938775511,-32.89795918367347,240.9795918367347,-234.90196078431373,9.411764705882351,89.09803921568627,A
2024-07-19 20:38:19,-64.0,-32.6530612244898,240.48979591836732,-234.56,9.12,89.84,A
2024-07-19 20:38:20,-64.16326530612245,-34.775510204081634,240.16326530612244,-233.2,11.6,91.92,A
2024-07-19 20:38:21,-63.6,-33.12,240.8,-232.7058823529412,10.745098039215684,92.70588235294116,A
2024-07-19 20:38:22,-64.41666666666667,-34.583333333333336,240.25,-232.7843137254902,10.117647058823527,93.17647058823528,A
2024-07-19 20:38:23,-65.87755102040816,-37.95918367346939,240.08163265306123,-232.23529411764707,10.823529411764708,93.5686274509804,A
2024-07-19 20:38:24,-62.85714285714285,-32.326530612244895,241.7142857142857,-232.32,10.56,93.04,A
2024-07-19 20:38:25,-65.22448979591837,-35.10204081632653,240.16326530612244,-232.32,11.68,92.08,A
2024-07-19 20:38:26,-65.38775510204081,-35.51020408163265,240.4081632653061,-233.0196078431373,11.058823529411764,92.3921568627451,A
2024-07-19 20:38:27,-64.56,-33.84,240.64,-233.12,10.32,92.0,A
2024-07-19 20:38:28,-63.83673469387755,-36.0,240.57142857142856,-233.49019607843135,10.509803921568627,91.68627450980392,A
2024-07-19 20:38:29,-61.95918367346939,-33.224489795918366,241.79591836734693,-233.28,11.68,91.36,A
2024-07-19 20:38:30,-63.42857142857143,-34.44897959183673,241.46938775510205,-232.4705882352941,10.196078431372548,92.7843137254902,A
2024-07-19 20:38:31,-62.083333333333336,-33.416666666666664,241.41666666666663,-232.56,10.08,92.4,A
2024-07-19 20:38:32,-61.2,-32.48,241.92,-232.15686274509804,11.607843137254902,92.07843137254902,A
2024-07-19 20:38:33,-60.81632653061224,-31.918367346938776,242.44897959183675,-232.7843137254902,11.84313725490196,92.0,A
2024-07-19 20:38:34,-62.775510204081634,-31.51020408163265,241.6326530612245,-232.8,11.6,92.0,A
2024-07-19 20:38:35,-61.75,-31.58333333333333,241.75,-232.7058823529412,11.68627450980392,91.84313725490196,A
2024-07-19 20:38:36,-60.734693877551024,-31.836734693877556,242.44897959183675,-232.48,11.76,92.08,A
2024-07-19 20:38:37,-62.53061224489796,-33.06122448979592,241.14285714285717,-233.0196078431373,11.68627450980392,91.84313725490196,A
2024-07-19 20:38:38,-63.59183673469388,-33.142857142857146,240.89795918367344,-232.64,10.48,92.32,A
2024-07-19 20:38:39,-62.93877551020408,-32.40816326530612,241.6326530612245,-232.72,10.0,92.08,A
2024-07-19 20:38:40,-60.89795918367347,-32.08163265306123,241.87755102040816,-232.54901960784315,9.882352941176473,91.92156862745098,A
2024-07-19 20:38:41,-60.97959183673469,-32.16326530612245,242.20408163265307,-232.7058823529412,10.823529411764708,91.84313725490196,A
2024-07-19 20:38:42,-63.51020408163265,-33.714285714285715,240.73469387755105,-232.86274509803923,10.745098039215684,91.76470588235294,A
2024-07-19 20:38:43,-61.44,-31.68,241.92,-232.88,10.64,91.92,A
2024-07-19 20:38:44,-63.16666666666666,-32.166666666666664,241.16666666666663,-233.76,10.72,91.68,A
2024-07-19 20:38:45,-62.93877551020408,-32.40816326530612,240.9795918367347,-233.5686274509804,10.431372549019608,91.05882352941175,A
2024-07-19 20:38:46,-62.69387755102041,-33.142857142857146,241.3877551020408,-233.84,11.44,91.28,A
2024-07-19 20:38:47,-60.97959183673469,-32.08163265306123,241.87755102040816,-233.41176470588235,10.431372549019608,90.74509803921568,A
2024-07-19 20:38:48,-60.40816326530612,-31.918367346938776,241.9591836734694,-233.8823529411765,5.098039215686274,90.4313725490196,A
2024-07-19 20:38:49,-60.16326530612245,-31.836734693877556,242.28571428571428,-240.7058823529412,-1.7254901960784317,79.05882352941177,A
2024-07-19 20:38:50,-60.57142857142857,-32.48979591836735,242.44897959183675,-238.88,-0.72,84.08,A
2024-07-19 20:38:51,-63.10204081632653,-33.224489795918366,241.3877551020408,-233.44,0.24,93.76,A
2024-07-19 20:38:52,-61.95918367346939,-32.97959183673469,241.6326530612245,-232.86274509803923,-0.2352941176470588,94.3529411764706,A
2024-07-19 20:38:53,-59.10204081632653,-30.93877551020408,242.44897959183675,-229.84,2.4,99.84,A
2024-07-19 20:38:54,-57.84,-38.0,242.24,-235.6078431372549,0.7058823529411765,88.62745098039215,A
2024-07-19 20:38:55,-59.91836734693877,-34.61224489795919,241.9591836734694,-235.92,0.24,88.32,A
2024-07-19 20:38:56,-63.83673469387755,-34.857142857142854,241.14285714285717,-235.37254901960785,0.6274509803921569,89.09803921568627,A
2024-07-19 20:38:57,-61.91666666666666,-35.5,241.33333333333331,-233.6,-1.84,94.32,A
2024-07-19 20:38:58,-61.38775510204081,-36.6530612244898,240.9795918367347,-232.94117647058823,-2.588235294117647,95.1372549019608,A
2024-07-19 20:38:59,-59.67346938775511,-36.81632653061224,242.12244897959184,-234.66666666666663,-0.2352941176470588,90.27450980392156,A
2024-07-19 20:39:00,-59.36,-36.24,241.76,-253.2,-7.04,37.84,P
2024-07-19 20:39:01,-59.02040816326531,-35.10204081632653,242.12244897959184,-245.9607843137255,0.7843137254901961,65.25490196078431,P
2024-07-19 20:39:02,-57.75,-34.5,242.75,-244.56,-47.68,80.0,P
2024-07-19 20:39:03,-59.265306122448976,-35.673469387755105,241.79591836734693,-175.04,-76.8,137.52,P
2024-07-19 20:39:04,-59.91836734693877,-35.02040816326531,241.79591836734693,-141.72549019607845,-88.70588235294117,182.1960784313725,P
2024-07-19 20:39:05,-59.04,-35.44,242.24,-186.2745098039216,-91.05882352941175,127.05882352941175,P
2024-07-19 20:39:06,-57.38775510204081,-32.816326530612244,243.42857142857144,-126.74509803921568,-80.31372549019608,189.8823529411765,P
2024-07-19 20:39:07,-60.0,-35.59183673469388,242.0408163265306,-162.88,-22.16,166.56,P
2024-07-19 20:39:08,-57.224489795918366,-28.163265306122447,242.9387755102041,-231.05882352941177,30.431372549019606,91.84313725490196,P
2024-07-19 20:39:09,-55.02040816326531,-28.3265306122449,244.24489795918367,-192.48,30.96,138.4,P
2024-07-19 20:39:10,-56.0,-26.93877551020408,243.6734693877551,-203.92,57.68,115.44,P
2024-07-19 20:39:11,-56.40816326530612,-28.3265306122449,243.59183673469389,-185.0196078431373,102.58823529411764,94.90196078431372,P
2024-07-19 20:39:12,-57.30612244897959,-30.367346938775512,244.08163265306123,52.0,201.5686274509804,69.80392156862744,P
2024-07-19 20:39:13,-22.285714285714285,-14.775510204081632,247.3469387755102,68.62745098039215,221.49019607843135,-26.431372549019606,P
2024-07-19 20:39:14,-28.816326530612244,-8.081632653061224,249.0612244897959,37.2,220.16,-93.2,P
2024-07-19 20:39:15,-40.16666666666666,-16.166666666666668,244.0,2.5098039215686274,218.66666666666663,-101.25490196078432,P
2024-07-19 20:39:16,-113.28,-42.48,219.6,-111.84,198.4,49.44,P
2024-07-19 20:39:17,-178.69387755102042,8.816326530612244,176.16326530612244,-108.32,-30.8,183.36,P
2024-07-19 20:39:18,-204.57142857142856,4.979591836734694,150.6122448979592,10.27450980392157,-112.70588235294116,198.50980392156865,P
2024-07-19 20:39:19,-198.12244897959184,-19.59183673469388,154.3673469387755,108.8,1.36,212.32,P
2024-07-19 20:39:20,-199.1836734693877,-40.48979591836735,154.28571428571428,8.0,-145.80392156862746,197.5686274509804,P
2024-07-19 20:39:21,-209.3877551020408,-32.97959183673469,140.57142857142858,139.2941176470588,-10.431372549019608,184.4705882352941,P
2024-07-19 20:39:22,-215.42857142857144,-45.30612244897959,129.3877551020408,25.84,20.16,227.6,P
2024-07-19 20:39:23,-234.9387755102041,-61.46938775510204,82.77551020408163,-85.6470588235294,-199.52941176470588,73.33333333333333,P
2024-07-19 20:39:24,-254.0408163265306,-45.38775510204081,32.326530612244895,-59.04,-151.44,159.92,P
2024-07-19 20:39:25,-142.85714285714286,-32.816326530612244,198.20408163265307,-5.882352941176471,-245.0196078431373,71.29411764705883,P
2024-07-19 20:39:26,-161.30612244897958,34.857142857142854,178.69387755102042,-85.84,-184.72,140.08,P
2024-07-19 20:39:27,-221.6326530612245,46.12244897959184,123.0204081632653,-129.0196078431373,-144.54901960784315,159.76470588235293,P
2024-07-19 20:39:28,-216.08163265306123,36.326530612244895,121.79591836734694,-150.96,-119.2,162.48,P
2024-07-19 20:39:29,-214.77551020408163,11.183673469387756,135.91836734693877,-120.48,-65.68,167.84,P
2024-07-19 20:39:30,-144.48979591836735,68.16326530612245,176.48979591836735,-169.0196078431373,183.2941176470588,-12.627450980392156,P
2024-07-19 20:39:31,-257.7959183673469,29.959183673469383,-14.122448979591836,-149.09803921568627,190.4313725490196,-40.47058823529412,P
2024-07-19 20:39:32,-257.3061224489796,-10.775510204081632,-18.693877551020407,-105.09803921568628,195.37254901960785,-97.17647058823528,P
2024-07-19 20:39:33,-254.77551020408163,-42.93877551020408,-22.285714285714285,-113.04,198.72,30.88,P
2024-07-19 20:39:34,-253.46938775510205,-47.3469387755102,-42.04081632653061,-133.1764705882353,-71.84313725490196,169.64705882352942,P
2024-07-19 20:39:35,-250.77551020408163,-27.428571428571427,38.04081632653061,-44.08,-103.92,216.24,P
2024-07-19 20:39:36,-233.3061224489796,-1.3877551020408163,99.91836734693878,-19.44,-232.4,77.12,P
2024-07-19 20:39:37,-232.75,-53.41666666666666,23.08333333333333,6.03921568627451,-238.66666666666663,98.27450980392156,P
2024-07-19 20:39:38,-215.84,-21.44,89.68,2.88,-242.88,94.64,P
2024-07-19 20:39:39,-34.44897959183673,11.346938775510203,228.57142857142856,-6.509803921568627,-253.5686274509804,45.72549019607843,P
2024-07-19 20:39:40,-47.91836734693877,3.918367346938776,248.16326530612244,-88.70588235294117,-122.27450980392156,151.92156862745097,P
2024-07-19 20:39:41,-72.9795918367347,6.857142857142857,238.77551020408163,-143.68,-165.6,102.08,P
2024-07-19 20:39:42,-82.77551020408163,8.16326530612245,235.59183673469389,-76.15686274509804,-253.0196078431373,43.68627450980392,P
2024-07-19 20:39:43,-89.55102040816327,9.46938775510204,233.46938775510205,-40.24,-257.2,54.16,P
2024-07-19 20:39:44,-89.87755102040816,8.89795918367347,233.0612244897959,-23.607843137254903,-253.80392156862743,71.68627450980392,P
2024-07-19 20:39:45,-89.79591836734694,7.673469387755102,233.7142857142857,-3.52,-251.6,79.6,P
2024-07-19 20:39:46,-99.10204081632654,8.326530612244898,229.79591836734693,-46.90196078431372,-236.3921568627451,75.84313725490196,P
2024-07-19 20:39:47,-100.3265306122449,7.836734693877551,229.3061224489796,-157.44,-111.6,162.24,P
2024-07-19 20:39:48,-95.51020408163264,8.244897959183673,231.26530612244895,-130.90196078431373,-121.17647058823528,162.35294117647058,P
2024-07-19 20:39:49,-94.12244897959184,8.081632653061224,231.8367346938776,25.725490196078432,-228.3921568627451,114.03921568627452,P
2024-07-19 20:39:50,-90.6938775510204,7.836734693877551,232.4081632653061,32.4,-233.44,107.68,P
2024-07-19 20:39:51,-88.16326530612245,8.081632653061224,234.28571428571428,23.529411764705884,-236.07843137254903,105.6470588235294,P
2024-07-19 20:39:52,-89.38775510204081,9.714285714285714,233.46938775510205,22.96,-233.28,109.44,P
2024-07-19 20:39:53,-89.55102040816327,9.387755102040815,233.55102040816325,22.90196078431373,-232.07843137254903,111.92156862745098,P
2024-07-19 20:39:54,-87.04,9.52,234.64,19.28,-227.12,119.52,P
2024-07-19 20:39:55,-87.66666666666667,9.333333333333334,234.08333333333331,13.098039215686274,-224.4705882352941,124.70588235294116,P
2024-07-19 20:39:56,-86.12244897959184,8.89795918367347,234.8571428571429,3.607843137254902,-233.64705882352945,109.5686274509804,P
2024-07-19 20:39:57,-85.38775510204081,9.79591836734694,235.1836734693877,-35.52,-245.2,88.56,P
2024-07-19 20:39:58,-84.89795918367346,9.224489795918368,235.51020408163265,-30.666666666666668,-241.72549019607845,95.52941176470588,P
2024-07-19 20:39:59,-84.81632653061224,9.551020408163266,235.26530612244895,-38.96,-171.6,150.56,P
2024-07-19 20:40:00,-85.14285714285714,9.551020408163266,235.1836734693877,-91.2,-52.64,219.28,P
2024-07-19 20:40:01,-84.65306122448979,9.142857142857142,235.42857142857144,-101.25490196078432,-172.15686274509804,85.09803921568627,P
2024-07-19 20:40:02,-83.34693877551021,9.551020408163266,235.8367346938776,-59.52,-247.44,61.76,P
2024-07-19 20:40:03,-83.42857142857143,9.551020408163266,235.8367346938776,-71.52941176470588,-238.8235294117647,84.15686274509804,P
2024-07-19 20:40:04,-81.14285714285714,9.714285714285714,236.6530612244898,-70.98039215686275,-238.98039215686276,85.25490196078431,P
2024-07-19 20:40:05,-82.56,9.76,235.84,-58.98039215686274,-241.09803921568627,88.31372549019608,P
2024-07-19 20:40:06,-82.61224489795919,10.20408163265306,235.8367346938776,-19.52,-255.6,61.28,P
2024-07-19 20:40:07,-81.46938775510205,8.816326530612244,235.9183673469388,-16.48,-233.36,112.0,P
2024-07-19 20:40:08,-81.58333333333333,9.25,236.08333333333331,-32.0,-231.1372549019608,113.72549019607844,P
2024-07-19 20:40:09,-80.40816326530613,8.73469387755102,236.4081632653061,-25.52,-235.76,107.52,P
2024-07-19 20:40:10,-78.61224489795919,9.387755102040815,236.57142857142856,-42.74509803921568,-253.2549019607843,42.8235294117647,P
2024-07-19 20:40:11,-76.48,9.12,237.28,9.411764705882351,-237.5686274509804,104.8627450980392,P
2024-07-19 20:40:12,-76.16326530612245,9.46938775510204,237.79591836734693,0.0,-236.7843137254902,106.90196078431372,P
2024-07-19 20:40:13,-75.91666666666667,9.166666666666666,238.5,-3.92,-236.32,107.92,P
